Thousand Oaks - 5395016
Available Units - As Of Property Date: 03/10/2026

Parameters: Needed by date - 03/11/2026; 
Accessibility: M-Mobility; H-Hearing; V-Vision

Unit,Amenity,Floor Plan,Floor Plan Group,Rentable Sq Ft,Status,Available Date,Move-In Ready Date,Specials,Deposit,Price,Best Price,Accessibility
 Unit 8-01-3011,27 Of 102, 8A5.2 - 8A5.2, 1x1 - One bedroom one bath,768 Sq ft.,On notice,04/16/2026,04/30/2026,2,0.0000,1508,1508,
 Unit 5-16-0207,24 Of 102, 5a5 - 5a5, 1x1 - One bedroom one bath,750 Sq ft.,On notice,04/16/2026,04/30/2026,2,0.0000,1316,1316,
 Unit 4c-02-S208,22 Of 102, a-6.1 - a-6.1," 2x2 - Two bedroom, two bath",1502 Sq ft.,On notice,04/19/2026,05/02/2026,2,0.0000,1837,1837,
 Unit 8-01-4017,29 Of 102, 8A8.2 - 8A8.2, 1x1 - One bedroom one bath,871 Sq ft.,On notice,04/19/2026,05/02/2026,2,0.0000,1678,1678,
 Unit 7-04-0308,26 Of 102, 7A6.3 - 7A6.3, 1x1 - One bedroom one bath,650 Sq ft.,On notice,04/19/2026,05/02/2026,2,0.0000,1253,1253,
 Unit 4-21-0218,26 Of 102, 4a1 - 4a1, 1x1 - One bedroom one bath,529 Sq ft.,On notice,04/19/2026,05/02/2026,2,0.0000,1191,1191,
 Unit 7-08-0208,27 Of 102, 7A7.1 - 7A7.1, 1x1 - One bedroom one bath,700 Sq ft.,On notice,04/20/2026,05/02/2026,2,0.0000,1313,1313,
 Unit 5-10-0303,23 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,On notice,04/21/2026,05/05/2026,2,0.0000,1211,1211,
 Unit 8-01-2045,27 Of 102, 8A5.2 - 8A5.2, 1x1 - One bedroom one bath,768 Sq ft.,On notice,04/23/2026,05/07/2026,2,0.0000,1508,1508,
 Unit 5-16-0203,23 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,On notice,04/23/2026,05/07/2026,2,0.0000,1316,1316,
 Unit 8-01-4037,30 Of 102, 8A7.1 - 8A7.1, 1x1 - One bedroom one bath,810 Sq ft.,On notice,04/24/2026,05/08/2026,2,0.0000,1588,1588,
 Unit 7-10-0301,30 Of 102, 7A8.2 - 7A8.2, 1x1 - One bedroom one bath,899 Sq ft.,On notice,04/26/2026,05/09/2026,2,0.0000,1733,1733,
 Unit 7-11-0317,31 Of 102, 7A7.9 - 7A7.9, 1x1 - One bedroom one bath,785 Sq ft.,On notice,04/27/2026,05/09/2026,2,0.0000,1623,1623,
 Unit 7-03-0118,29 Of 102, 7A7.4 - 7A7.4, 1x1 - One bedroom one bath,750 Sq ft.,On notice,04/27/2026,05/09/2026,2,0.0000,1518,1518,
 Unit 8-01-4013,28 Of 102, 8A5.4 - 8A5.4, 1x1 - One bedroom one bath,774 Sq ft.,On notice,04/27/2026,05/09/2026,2,0.0000,1488,1488,
 Unit 4c-02-S205,22 Of 102, a-4.2 - a-4.2, 1x1 - One bedroom one bath,969 Sq ft.,On notice,04/27/2026,05/09/2026,2,0.0000,1397,1397,
 Unit 3-11-0103,24 Of 102, 3a3 - 3a3, 1x1 - One bedroom one bath,707 Sq ft.,On notice,04/27/2026,05/09/2026,2,0.0000,1281,1281,
 Unit 8-01-2094,29 Of 102, 8A6.1 - 8A6.1, 1x1 - One bedroom one bath,768 Sq ft.,On notice,04/28/2026,05/12/2026,2,0.0000,1473,1473,
 Unit 5-13-0307,25 Of 102, 5a5 - 5a5, 1x1 - One bedroom one bath,750 Sq ft.,On notice,04/28/2026,05/12/2026,2,0.0000,1261,1261,
 Unit 5-17-0101,29 Of 102, 5a6 - 5a6, 1x1 - One bedroom one bath,865 Sq ft.,On notice,04/29/2026,05/13/2026,2,0.0000,1641,1641,
 Unit 4s-01-0101,19 Of 102, Spencer - Spencer," 4x5 - Four bedroom, 5 bath",3788 Sq ft.,On notice (Break),05/01/2026,05/15/2026,2,0.0000,3999,3999,
 Unit 4-27-0103,24 Of 102, 4a3 - 4a3, 1x1 - One bedroom one bath,780 Sq ft.,On notice,05/01/2026,05/15/2026,2,0.0000,1496,1496,
 Unit 5-18-0240,25 Of 102, 5a5 - 5a5, 1x1 - One bedroom one bath,750 Sq ft.,On notice,05/01/2026,05/15/2026,2,0.0000,1291,1291,
 Unit 7-03-0213,26 Of 102, 7A7.6 - 7A7.6, 1x1 - One bedroom one bath,760 Sq ft.,On notice,05/03/2026,05/16/2026,2,0.0000,1403,1403,
 Unit 3-20-0201,23 Of 102, 3a5 - 3a5, 1x1 - One bedroom one bath,736 Sq ft.,On notice,05/03/2026,05/16/2026,2,0.0000,1321,1321,
 Unit 4-25-0216,25 Of 102, 4a2 - 4a2, 1x1 - One bedroom one bath,672 Sq ft.,On notice,05/03/2026,05/16/2026,2,0.0000,1321,1321,
 Unit 8-01-3035,27 Of 102, 8A5.2 - 8A5.2, 1x1 - One bedroom one bath,768 Sq ft.,On notice,05/04/2026,05/16/2026,2,0.0000,1508,1508,
 Unit 5-12-0102,24 Of 102, 5a3 - 5a3, 1x1 - One bedroom one bath,610 Sq ft.,On notice (Break),05/04/2026,05/16/2026,2,0.0000,1186,1186,
 Unit 3-33-0207,24 Of 102, 3a1 - 3a1, 1x1 - One bedroom one bath,609 Sq ft.,On notice,05/05/2026,05/19/2026,2,0.0000,1266,1266,
 Unit 8-01-3114,28 Of 102, 8A1.2 - 8A1.2, 1x1 - One bedroom one bath,602 Sq ft.,On notice,05/06/2026,05/20/2026,2,0.0000,1273,1273,
 Unit 7-11-0202,33 Of 102, 7A7.7 - 7A7.7, 1x1 - One bedroom one bath,769 Sq ft.,On notice,05/11/2026,05/23/2026,2,0.0000,1543,1543,
 Unit 4-26-0432,26 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,On notice,05/11/2026,05/23/2026,2,0.0000,1636,1636,
 Unit 5-01-0206,25 Of 102, 5a8 - 5a8, 1x1 - One bedroom one bath,957 Sq ft.,On notice,05/13/2026,05/27/2026,2,0.0000,1402,1402,
 Unit 3-32-0101,26 Of 102, 3a6g - 3a6g, 1x1 - One bedroom one bath,813 Sq ft.,On notice,05/20/2026,06/03/2026,2,0.0000,1596,1596,
 Unit 4c-02-S204,23 Of 102, a-4.2 - a-4.2, 1x1 - One bedroom one bath,969 Sq ft.,On notice,05/20/2026,06/03/2026,2,0.0000,1472,1472,
 Unit 7-07-0209,28 Of 102, 7B4 - 7B4," 2x2 - Two bedroom, two bath",1197 Sq ft.,On notice,05/22/2026,06/05/2026,2,0.0000,2327,2327,
 Unit 4-26-0330,25 Of 102, 4a3 - 4a3, 1x1 - One bedroom one bath,780 Sq ft.,On notice,05/28/2026,06/11/2026,2,0.0000,1426,1426,
 Unit 7-04-0201,28 Of 102, 7B5 - 7B5," 2x2 - Two bedroom, two bath",1222 Sq ft.,On notice,06/01/2026,06/13/2026,2,0.0000,2382,2382,
 Unit 3-12-0010,23 Of 102, 3tha1-2 - 3tha1-2, 1x1 - One bedroom one bath,845 Sq ft.,On notice,06/01/2026,06/13/2026,2,0.0000,1496,1496,
 Unit 4-23-0215,24 Of 102, 4a1 - 4a1, 1x1 - One bedroom one bath,529 Sq ft.,On notice,06/22/2026,07/04/2026,2,0.0000,1116,1116,

